kdcode,dt,close,open,high,low,turnover,volume,OT
000001.SZ,2021-01-04,17.69241817,18.16802081,18.16802081,17.54022533,2891682312.0,155421643,-0.0382626682709187
000001.SZ,2021-01-05,17.2833999,17.50217712,17.57827354,16.93145395,3284606914.0,182135210,-0.0231182795969376
000001.SZ,2021-01-06,18.60557524,17.19779143,18.60557524,17.12169501,3648521909.0,193494512,0.0764997250338459
000001.SZ,2021-01-07,18.92898504,18.56752703,19.00508146,18.2916775,3111274625.0,158418530,0.0173824133803024
000001.SZ,2021-01-08,18.88142477,18.92898504,19.11922609,18.36777392,2348316363.0,119547322,-0.0025125631352922
000001.SZ,2021-01-11,19.38556357,19.02410556,19.63287694,19.02410556,3652546647.0,179045714,0.026700252027644
000001.SZ,2021-01-12,19.97531084,19.39507562,19.97531084,19.19532251,2657687441.0,128816550,0.0304219822070408
000001.SZ,2021-01-13,19.68994926,19.97531084,19.98482289,19.40458767,2161849708.0,104911973,-0.0142857141140738
000001.SZ,2021-01-14,19.18581046,19.67092515,19.87067826,18.9765453,2306404547.0,113015562,-0.0256038648623718
000001.SZ,2021-01-15,19.97531084,19.97531084,20.87895586,19.80409389,5311218075.0,248068898,0.0411502230591722
000001.SZ,2021-01-18,21.59235981,20.1655519,21.66845624,20.1655519,4792909448.0,215730178,0.0809523808141152
000001.SZ,2021-01-19,21.24992591,21.41163081,21.72552855,20.97407638,2790056611.0,124208834,-0.01585903083374
000001.SZ,2021-01-20,21.3735826,21.06919691,21.84918524,21.04066075,2889249850.0,128079316,0.0058191586419511
000001.SZ,2021-01-21,21.14529333,21.40211876,21.68748034,21.06919691,2114252732.0,94477860,-0.0106809080289608
000001.SZ,2021-01-22,20.95505228,21.14529333,21.14529333,20.46042553,2025834762.0,92443442,-0.0089968508372544
000001.SZ,2021-01-25,21.39260671,20.66017864,21.49723929,20.38432911,2269032821.0,102836527,0.0208806174355198
000001.SZ,2021-01-26,21.27846207,21.2118777,22.18210709,21.2118777,2558575512.0,112672055,-0.0053357050661171
000001.SZ,2021-01-27,21.95381782,21.22138976,22.32478788,21.22138976,2976800956.0,129415272,0.0317389361965294
000001.SZ,2021-01-28,21.69699239,21.66845624,22.04893835,21.35455849,1948881147.0,85747696,-0.0116984404309866
000001.SZ,2021-01-29,21.96332987,21.69699239,22.39137225,21.60187187,2864101419.0,124025841,0.0122753179432719
000001.SZ,2021-02-01,23.35208958,21.8777214,23.7706199,21.59235981,3529556987.0,147523930,0.0632308360444435
000001.SZ,2021-02-02,22.14405888,22.2391794,22.9240472,21.79211292,5679179942.0,241616877,-0.051731160753795
000001.SZ,2021-02-03,23.73257169,22.33429993,23.9513489,22.2391794,4690176486.0,192327159,0.0717353949701926
000001.SZ,2021-02-04,23.39964984,23.00014363,24.00842122,22.86697489,3084553751.0,125524750,-0.0140280562236869
000001.SZ,2021-02-05,23.71354758,23.39964984,24.07500559,23.0857521,2517804160.0,101557559,0.0134146340712935
000001.SZ,2021-02-08,23.5898909,23.68501143,23.68501143,22.9240472,2650948251.0,108426467,-0.0052146006236659
000001.SZ,2021-02-09,23.38062574,23.58037885,23.62793911,22.99063157,2302978158.0,94209355,-0.008870967690656
000001.SZ,2021-02-10,22.65770973,23.39964984,23.74208374,22.2391794,4569741960.0,191886710,-0.030919446640952
000001.SZ,2021-02-18,23.11428826,22.82892668,23.35208958,22.33429993,3619387652.0,150523081,0.0201511333422841
000001.SZ,2021-02-19,22.68624588,22.79087846,23.00965568,22.41990841,2197558287.0,92258314,-0.018518518726823
000001.SZ,2021-02-22,21.28797412,22.63868562,22.63868562,21.17382949,4445818548.0,195684248,-0.0616352201856678
000001.SZ,2021-02-23,20.85993175,21.28797412,21.57333571,20.75529917,4160776611.0,187046013,-0.0201072383678753
000001.SZ,2021-02-24,21.07870896,21.18334154,21.1928536,20.5079858,3144209052.0,142849985,0.0104879159060526
000001.SZ,2021-02-25,21.01212459,21.30699823,21.45919108,20.62213043,3524600794.0,159340347,-0.0031588447910332
000001.SZ,2021-02-26,20.33676885,20.54603401,20.88846791,20.17506395,2424653753.0,112497730,-0.032141240030597
000001.SZ,2021-03-01,20.40335322,20.48896169,20.62213043,20.14652779,2408050906.0,112538653,0.0032740879581762
000001.SZ,2021-03-02,20.59359427,20.56505811,21.06919691,20.22262421,3196536981.0,147342505,0.0093240090463915
000001.SZ,2021-03-03,21.88723345,20.5270099,21.95381782,20.41286527,4320024431.0,191963527,0.0628175520523159
000001.SZ,2021-03-04,21.80162498,21.65894418,22.34381198,21.54479955,2799747146.0,121357937,-0.0039113426644609
000001.SZ,2021-03-05,21.24992591,21.59235981,21.85869729,20.79334738,1960439115.0,88017141,-0.0253054105144046
000001.SZ,2021-03-08,20.54603401,21.34504644,21.58284776,20.43188937,2189190958.0,99377397,-0.0331244401971659
000001.SZ,2021-03-09,19.83263005,20.62213043,20.8504197,19.57580462,2882931928.0,136189533,-0.0347222222864411
000001.SZ,2021-03-10,19.40458767,19.823118,19.88970237,19.29044304,2356185004.0,114941657,-0.0215827340559905
000001.SZ,2021-03-11,20.23213627,19.57580462,20.33676885,19.55678052,2213107787.0,104865939,0.0426470592456551
000001.SZ,2021-03-12,20.43188937,20.32725679,20.64115454,20.1655519,1494219076.0,69720060,0.0098730602312218
000001.SZ,2021-03-15,20.54603401,20.35579295,21.04066075,20.07994342,2077984894.0,95874870,0.0055865925041467
000001.SZ,2021-03-16,20.60310632,20.54603401,21.0311487,20.23213627,2038470661.0,93968432,0.002777777451951
000001.SZ,2021-03-17,20.1655519,20.40335322,20.49847374,19.88019031,1738185857.0,82148865,-0.021237303404839
000001.SZ,2021-03-18,20.66969069,20.26067242,20.66969069,19.97531084,1483801549.0,69161019,0.0249999996280785
000001.SZ,2021-03-19,19.47117204,20.47944964,20.59359427,19.37605152,3159181043.0,152562227,-0.0579843534175305
000001.SZ,2021-03-22,20.49847374,19.54726847,20.49847374,19.52824436,3087549484.0,145119008,0.0527601367750023
000001.SZ,2021-03-23,20.19408806,20.51749785,20.59359427,19.93726263,1448043613.0,68290338,-0.0148491874985812
000001.SZ,2021-03-24,19.52824436,20.17506395,20.24164832,19.45214794,1757688572.0,85008507,-0.0329722093922572
000001.SZ,2021-03-25,19.73750952,19.57580462,19.81360594,19.40458767,1017166049.0,49266574,0.0107160252679263
000001.SZ,2021-03-26,20.10847958,19.823118,20.35579295,19.74702157,1733412579.0,82210806,0.0187951808015138
000001.SZ,2021-03-29,20.44140143,20.24164832,20.59359427,20.1655519,1684397866.0,78566668,0.0165562915224641
000001.SZ,2021-03-30,20.85993175,20.33676885,20.85993175,20.17506395,1601238499.0,73865481,0.0204746392478629
000001.SZ,2021-03-31,20.93602817,20.70773891,20.99310049,20.54603401,1699922184.0,77702807,0.0036479707082455
000001.SZ,2021-04-01,20.71725096,21.00261254,21.0311487,20.45091348,1183868024.0,54444898,-0.010449795358677
000001.SZ,2021-04-02,20.45091348,20.64115454,20.66969069,20.31774474,1249405387.0,58108352,-0.0128558311387082
